台番号,機種名,エリア名,座標X,座標Y
1195,,,55,9
1156,,,72,9
1155,,,77,9
1116,,,94,9
1115,,,99,9
1078,,,116,9
1077,,,121,9
1046,,,138,9
1045,,,143,9
1024,,,160,9
1023,,,165,9
1006,,,182,9
1005,,,187,9
0991,,,204,9
0990,,,209,9
0976,,,226,9
0975,,,231,9
0959,,,248,9
0958,,,253,9
0938,,,270,9
0937,,,275,9
0906,,,292,9
1194,,,55,14
1157,,,72,14
1154,,,77,14
1117,,,94,14
1114,,,99,14
1079,,,116,14
1076,,,121,14
1047,,,138,14
1044,,,143,14
1025,,,160,14
1022,,,165,14
1007,,,182,14
1004,,,187,14
0992,,,204,14
0989,,,209,14
0977,,,226,14
0974,,,231,14
0960,,,248,14
0957,,,253,14
0939,,,270,14
0936,,,275,14
0907,,,292,14
1193,,,55,19
1158,,,72,19
1153,,,77,19
1118,,,94,19
1113,,,99,19
1080,,,116,19
1075,,,121,19
1048,,,138,19
1043,,,143,19
1026,,,160,19
1021,,,165,19
1008,,,182,19
1003,,,187,19
0993,,,204,19
0988,,,209,19
0978,,,226,19
0973,,,231,19
0961,,,248,19
0956,,,253,19
0940,,,270,19
0935,,,275,19
0908,,,292,19
1192,,,55,24
1159,,,72,24
1152,,,77,24
1119,,,94,24
1112,,,99,24
1081,,,116,24
1074,,,121,24
1049,,,138,24
1042,,,143,24
1027,,,160,24
1020,,,165,24
1009,,,182,24
1002,,,187,24
0994,,,204,24
0987,,,209,24
0979,,,226,24
0972,,,231,24
0962,,,248,24
0955,,,253,24
0941,,,270,24
0934,,,275,24
0909,,,292,24
1191,,,55,29
1160,,,72,29
1151,,,77,29
1120,,,94,29
1111,,,99,29
1082,,,116,29
1073,,,121,29
1050,,,138,29
1041,,,143,29
1028,,,160,29
1019,,,165,29
1010,,,182,29
1001,,,187,29
0995,,,204,29
0986,,,209,29
0980,,,226,29
0971,,,231,29
0963,,,248,29
0954,,,253,29
0942,,,270,29
0933,,,275,29
0910,,,292,29
1190,,,55,34
1161,,,72,34
1150,,,77,34
1121,,,94,34
1110,,,99,34
1083,,,116,34
1072,,,121,34
1051,,,138,34
1040,,,143,34
1029,,,160,34
1018,,,165,34
1011,,,182,34
1000,,,187,34
0996,,,204,34
0985,,,209,34
0981,,,226,34
0970,,,231,34
0964,,,248,34
0953,,,253,34
0943,,,270,34
0932,,,275,34
0911,,,292,34
1189,,,55,39
1162,,,72,39
1149,,,77,39
1122,,,94,39
1109,,,99,39
1084,,,116,39
1071,,,121,39
1052,,,138,39
1039,,,143,39
1030,,,160,39
1017,,,165,39
1012,,,182,39
0999,,,187,39
0997,,,204,39
0984,,,209,39
0982,,,226,39
0969,,,231,39
0965,,,248,39
0952,,,253,39
0944,,,270,39
0931,,,275,39
0912,,,292,39
1188,,,55,44
1163,,,72,44
1148,,,77,44
1123,,,94,44
1108,,,99,44
1085,,,116,44
1070,,,121,44
1053,,,138,44
1038,,,143,44
1031,,,160,44
1016,,,165,44
1013,,,182,44
0998,,,187,44
0983,,,226,44
0968,,,231,44
0966,,,247,44
0951,,,252,44
0945,,,270,44
0930,,,275,44
0913,,,292,44
1187,,,55,49
1164,,,72,49
1147,,,77,49
1124,,,94,49
